Date,Total Cases,Released Cases,Deaths
20201130,34201,27625,526
20201201,34652,27885,526
20201202,35163,28065,526
20201203,35703,28352,529
20201204,36332,28611,536
20201205,36915,28917,540
20201206,37546,29128,545
20201207,38161,29301,549
20201208,38746,29650,552
20201209,39432,30177,556
20201210,40098,30637,564
